1 ,煮干中華ソバ イチカワ
2 ,はりけんラーメン
3 ,麺や 蒼 AOI
4 ,はりけんラーメン 南店
5 ,中華そば 飯村製作所
6 ,つくばらーめん 鬼者語-オニモノガタリ-
7 ,喜乃壺
8 ,七福軒
9 ,喜元門
10,松屋製麺所
11,麺屋KENJU
12,つけめん・らーめん活龍
13,油そば 油虎
14,喜元門 つくばサイエンス通り店
15,俺の生きる道
16,スタミナラーメン がむしゃ
17,活龍 海老蟹専門 甲殻堂
18,麺処 はいから
19,つけめん・らーめん活龍 竹園店
20,ラーメン 龍郎
21,鶏々 TORIDORI
22,支那そば一麺 下広岡店
23,中華そば JUN-CHAN
24,丸長 つくば店
25,つけめん・まぜそば むじゃき
26,味噌のジョー
27,麺や 松辰
28,活龍まぜそば専門 天地
29,らーめん逆流
30,活龍 期間限定麺処 みつき
31,ラーメンいっとく つくば学園店
32,ラーメン 大高山
33,まこと食堂
34,松屋食堂
35,栄楽
36,五輪書
37,中華そば 青葉 つくば店
38,明神角ふじ
39,自家製麺 名無し
40,東京背脂 銀の豚
41,東池袋大勝軒 うさぎ家
42,がんこや かるがんラーメン つくば店
43,ラーメンとカレーの店。
44,麺屋 とどろき
45,らーめん大河
46,麺処 べーヤン
47,豚男爵
48,ラーメン力○
49,博多拉麺 一休 本店
50,特級中華蕎麦 洋介
51,清六家
